Feature;Spearman;P-value;Rank
original_glcm_ClusterShade;-0.7489902825313319;1.3623526022662996e-146;1.0
original_firstorder_Skewness;-0.6519399691717661;3.3972689815205358e-99;2.0
original_firstorder_Median;0.5935499295901165;2.9397167544514535e-78;3.0
original_firstorder_Energy;0.5658484829251877;9.555569333404977e-70;5.0
original_firstorder_TotalEnergy;0.5658484829251877;9.555569333404977e-70;5.0
original_firstorder_RootMeanSquared;0.5658484829251877;9.555569333404977e-70;5.0
original_firstorder_Mean;0.5645757452855936;2.24988505742407e-69;7.0
original_firstorder_90Percentile;0.5645097780873725;2.351756826748663e-69;8.0
original_glcm_MCC;-0.5266676278430872;5.310093976641191e-59;9.0
original_firstorder_10Percentile;0.4868069964380779;2.0105003725240805e-49;10.0
original_ngtdm_Contrast;0.4780608561752451;1.7415979563633227e-47;11.0
original_glszm_LargeAreaHighGrayLevelEmphasis;0.41391606093796934;7.17042481331364e-35;12.0
original_firstorder_InterquartileRange;0.31766975442041395;1.8930252095315393e-20;13.0
original_gldm_LargeDependenceHighGrayLevelEmphasis;0.31721414170640605;2.1587628602739403e-20;14.0
original_glcm_Idmn;-0.2934323188999997;1.5054169983404598e-17;15.0
original_firstorder_RobustMeanAbsoluteDeviation;0.2828060261823222;2.316796817614022e-16;16.0
original_gldm_SmallDependenceLowGrayLevelEmphasis;-0.27835290396459816;7.038721312918837e-16;17.0
original_glrlm_LongRunHighGrayLevelEmphasis;0.27272438883022304;2.786322794024982e-15;18.0
original_firstorder_Kurtosis;-0.26412907551783293;2.1429126364722225e-14;19.0
original_glrlm_ShortRunLowGrayLevelEmphasis;-0.2502727981489173;4.930090298735516e-13;20.0
original_glszm_SmallAreaLowGrayLevelEmphasis;-0.2496097265973624;5.701593570817643e-13;21.0
original_gldm_LowGrayLevelEmphasis;-0.24481166110256455;1.6122591460099955e-12;22.0
original_glrlm_LowGrayLevelRunEmphasis;-0.24354127524151437;2.115251254135483e-12;23.0
original_glszm_LowGrayLevelZoneEmphasis;-0.23857624528808624;6.023738413985973e-12;24.0
original_glcm_SumAverage;0.23729307236982786;7.86468561468569e-12;25.5
original_glcm_JointAverage;0.23729307236982786;7.86468561468569e-12;25.5
original_glcm_Autocorrelation;0.23686475322528255;8.59389461994902e-12;27.0
original_gldm_HighGrayLevelEmphasis;0.23468428815767817;1.3460632278249544e-11;28.0
original_glrlm_HighGrayLevelRunEmphasis;0.23255893034308853;2.075631854960654e-11;29.0
original_glcm_Idn;-0.2284331307903335;4.7536980428505704e-11;30.0
original_glszm_HighGrayLevelZoneEmphasis;0.22351516004374752;1.2503689730495497e-10;31.0
original_glrlm_ShortRunHighGrayLevelEmphasis;0.22179023093469077;1.7460327367968262e-10;32.0
original_glrlm_LongRunLowGrayLevelEmphasis;-0.21822049110075448;3.454514238031005e-10;33.0
original_glcm_MaximumProbability;-0.2157180305235953;5.534812303157025e-10;34.0
original_glszm_SmallAreaHighGrayLevelEmphasis;0.19969250610734637;9.90166964362571e-09;35.0
original_glrlm_GrayLevelNonUniformity;-0.18337173027623974;1.476903525355566e-07;36.0
original_gldm_LargeDependenceLowGrayLevelEmphasis;-0.17965913466824324;2.6436205823547846e-07;37.0
original_glcm_Correlation;-0.17811244437324802;3.357430335824041e-07;38.0
original_gldm_SmallDependenceHighGrayLevelEmphasis;0.17695520387792027;4.009496486168847e-07;39.0
original_gldm_GrayLevelNonUniformity;-0.1572181456048611;6.937970150830087e-06;40.5
original_firstorder_Uniformity;-0.1572181456048611;6.937970150830087e-06;40.5
original_glcm_Imc1;0.15045155785548556;1.7094366215217913e-05;42.0
original_glcm_ClusterProminence;-0.14673222599738858;2.760984508735965e-05;43.0
original_glszm_LargeAreaLowGrayLevelEmphasis;-0.13609451710848813;0.00010214997505863836;44.0
original_glrlm_GrayLevelNonUniformityNormalized;-0.13502030975913545;0.00011597852135259247;45.0
original_gldm_DependenceEntropy;0.1314351592758465;0.00017597743609391606;46.0
original_glcm_Imc2;-0.11564777627286967;0.0009759133911483329;47.0
original_ngtdm_Complexity;-0.11438692752380382;0.0011094516863275781;48.0
original_glszm_GrayLevelNonUniformity;-0.10741383323341243;0.002204585052384015;49.0
original_firstorder_MeanAbsoluteDeviation;0.10453815170149308;0.0028939994864896164;50.0
original_glcm_JointEnergy;-0.08437669696662023;0.016306647917364532;51.0
original_glcm_SumEntropy;0.07854000806817575;0.0253983463691794;52.0
original_firstorder_Range;-0.0751136958354331;0.032557984351399075;53.0
original_glcm_DifferenceEntropy;-0.06403914247254229;0.06850941641390469;54.0
original_glszm_ZoneEntropy;-0.06320213385260408;0.07221124099563979;55.0
original_glrlm_RunEntropy;0.0621016551278596;0.0773254439608789;56.0
original_glcm_DifferenceVariance;-0.05761491074954648;0.10130115720957658;57.0
original_glcm_Contrast;-0.05757467051868324;0.10154028785863668;58.0
original_firstorder_Maximum;0.05411181866838691;0.12385348058863886;59.0
original_glszm_GrayLevelNonUniformityNormalized;-0.053045570490615666;0.13144347139128842;60.0
original_glcm_DifferenceAverage;-0.05239234331859357;0.13626820335849932;61.0
original_glszm_GrayLevelVariance;-0.048274000912879596;0.16988273191205586;62.0
