;original_firstorder_10Percentile;original_firstorder_90Percentile;original_firstorder_Energy;original_firstorder_Entropy;original_firstorder_InterquartileRange;original_firstorder_Kurtosis;original_firstorder_Maximum;original_firstorder_MeanAbsoluteDeviation;original_firstorder_Mean;original_firstorder_Median;original_firstorder_Minimum;original_firstorder_Range;original_firstorder_RobustMeanAbsoluteDeviation;original_firstorder_RootMeanSquared;original_firstorder_Skewness;original_firstorder_TotalEnergy;original_firstorder_Uniformity;original_firstorder_Variance;original_glcm_Autocorrelation;original_glcm_ClusterProminence;original_glcm_ClusterShade;original_glcm_ClusterTendency;original_glcm_Contrast;original_glcm_Correlation;original_glcm_DifferenceAverage;original_glcm_DifferenceEntropy;original_glcm_DifferenceVariance;original_glcm_Id;original_glcm_Idm;original_glcm_Idmn;original_glcm_Idn;original_glcm_Imc1;original_glcm_Imc2;original_glcm_InverseVariance;original_glcm_JointAverage;original_glcm_JointEnergy;original_glcm_JointEntropy;original_glcm_MCC;original_glcm_MaximumProbability;original_glcm_SumAverage;original_glcm_SumEntropy;original_glcm_SumSquares;original_glrlm_GrayLevelNonUniformity;original_glrlm_GrayLevelNonUniformityNormalized;original_glrlm_GrayLevelVariance;original_glrlm_HighGrayLevelRunEmphasis;original_glrlm_LongRunEmphasis;original_glrlm_LongRunHighGrayLevelEmphasis;original_glrlm_LongRunLowGrayLevelEmphasis;original_glrlm_LowGrayLevelRunEmphasis;original_glrlm_RunEntropy;original_glrlm_RunLengthNonUniformity;original_glrlm_RunLengthNonUniformityNormalized;original_glrlm_RunPercentage;original_glrlm_RunVariance;original_glrlm_ShortRunEmphasis;original_glrlm_ShortRunHighGrayLevelEmphasis;original_glrlm_ShortRunLowGrayLevelEmphasis;original_glszm_GrayLevelNonUniformity;original_glszm_GrayLevelNonUniformityNormalized;original_glszm_GrayLevelVariance;original_glszm_HighGrayLevelZoneEmphasis;original_glszm_LargeAreaEmphasis;original_glszm_LargeAreaHighGrayLevelEmphasis;original_glszm_LargeAreaLowGrayLevelEmphasis;original_glszm_LowGrayLevelZoneEmphasis;original_glszm_SizeZoneNonUniformity;original_glszm_SizeZoneNonUniformityNormalized;original_glszm_SmallAreaEmphasis;original_glszm_SmallAreaHighGrayLevelEmphasis;original_glszm_SmallAreaLowGrayLevelEmphasis;original_glszm_ZoneEntropy;original_glszm_ZonePercentage;original_glszm_ZoneVariance;original_gldm_DependenceEntropy;original_gldm_DependenceNonUniformity;original_gldm_DependenceNonUniformityNormalized;original_gldm_DependenceVariance;original_gldm_GrayLevelNonUniformity;original_gldm_GrayLevelVariance;original_gldm_HighGrayLevelEmphasis;original_gldm_LargeDependenceEmphasis;original_gldm_LargeDependenceHighGrayLevelEmphasis;original_gldm_LargeDependenceLowGrayLevelEmphasis;original_gldm_LowGrayLevelEmphasis;original_gldm_SmallDependenceEmphasis;original_gldm_SmallDependenceHighGrayLevelEmphasis;original_gldm_SmallDependenceLowGrayLevelEmphasis;original_ngtdm_Busyness;original_ngtdm_Coarseness;original_ngtdm_Complexity;original_ngtdm_Contrast;original_ngtdm_Strength
original_firstorder_10Percentile;1;0.915657173;0.964773893;-0.265285296;-0.041616301;-0.275683863;0.665141055;-0.200285288;0.969246644;0.952097167;0.559981732;-0.310728287;-0.064021278;0.964773893;-0.153182213;0.964773893;0.14924795;-0.279125594;-0.088501634;-0.324907062;-0.337976952;-0.208170237;-0.443987932;0.205236833;-0.456936934;-0.452599571;-0.41504386;0.463326094;0.463432752;-0.119102813;-0.124109946;-0.172807234;0.102069189;0.451872677;-0.088177088;0.240462562;-0.311775341;-0.281956778;0.166697307;-0.088177088;-0.178629328;-0.278385374;0.109288174;0.165116457;-0.284252383;-0.092747563;0.448920358;-0.053752859;0.107831676;0.083278803;-0.157222462;-0.454234509;-0.455259634;-0.452829077;0.433590766;-0.456675915;-0.104490256;0.076595793;-0.176224977;0.220868982;-0.303093986;-0.100913227;0.410278659;0.023606216;0.182365247;0.089755207;-0.454569467;-0.452566198;-0.45249733;-0.136030186;0.073719209;0.186497269;-0.446645802;0.374132577;-0.036454139;-0.443503118;-0.443503118;0.399765681;0.14924795;-0.278432942;-0.090388985;0.44757337;-0.003593608;0.152062582;0.080938238;-0.456679868;-0.156113707;0.047845802;0.173795881;0.388584753;-0.427023301;0.028778078;-0.231137615
original_firstorder_90Percentile;0.915657173;1;0.984376223;0.081535534;0.298316642;-0.347388596;0.666338483;0.153356958;0.981176408;0.981880429;0.329049204;-0.053258481;0.288442506;0.984376223;-0.330812303;0.984376223;-0.206871714;0.065327809;0.155097263;-0.006166303;-0.455722317;0.139113592;-0.205524755;0.124820523;-0.217852618;-0.213462736;-0.177789783;0.226691177;0.22722051;-0.118213926;-0.068169435;-0.154759075;0.173369939;0.213605601;0.152731347;-0.107030909;0.027522674;-0.285613766;-0.159550607;0.152731347;0.173428259;0.066084641;-0.245961646;-0.190899381;0.058537532;0.150945372;0.214340907;0.189562158;-0.124182105;-0.148497351;0.18571803;-0.220765485;-0.222039328;-0.218774429;0.198175239;-0.223391018;0.139158191;-0.155033578;-0.315282004;-0.129326831;0.033116198;0.142922631;0.169464633;0.244955541;-0.053202474;-0.141766716;-0.222784256;-0.224684253;-0.225134406;0.107387585;-0.1579176;0.267393526;-0.210665674;0.130589494;0.284824905;-0.207658913;-0.207658913;0.168801727;-0.206871714;0.066001791;0.153219526;0.214058555;0.238989508;-0.080695276;-0.150833;-0.223551828;0.087466004;-0.183410243;-0.09734299;0.360470299;-0.177548043;0.286281174;0.036178874
original_firstorder_Energy;0.964773893;0.984376223;1;-0.057876891;0.175694344;-0.297028175;0.662508689;0.015126906;0.999770879;0.996717688;0.406713212;-0.143482608;0.156471384;1;-0.308466083;1;-0.066953808;-0.071210651;0.082097491;-0.13439757;-0.457373286;0.000102096;-0.288230384;0.121619507;-0.30128187;-0.297036778;-0.258849881;0.308666076;0.308886774;-0.13183251;-0.097816392;-0.127324653;0.111852192;0.296170852;0.08105361;0.029838304;-0.10837171;-0.3169921;-0.040313896;0.08105361;0.033687384;-0.070348451;-0.105928379;-0.050294499;-0.077296002;0.077715677;0.294965637;0.117730799;-0.05562066;-0.080452933;0.046008041;-0.300364641;-0.301346787;-0.298948435;0.279261209;-0.302802011;0.065517066;-0.087178567;-0.23447612;0.010867138;-0.100023331;0.069063437;0.253763386;0.184134147;0.018558209;-0.073334179;-0.301204442;-0.300633119;-0.300829476;0.032678684;-0.089594869;0.204783063;-0.291816806;0.21604042;0.151111691;-0.288778653;-0.288778653;0.247055887;-0.066953808;-0.070493957;0.080192923;0.293992466;0.169150004;-0.011261117;-0.082965562;-0.30295621;0.012243127;-0.116180536;-0.005593205;0.344482532;-0.265012524;0.196306045;-0.055100797
original_firstorder_Entropy;-0.265285296;0.081535534;-0.057876891;1;0.844904587;-0.147309916;0.1060428;0.981085555;-0.074536843;-0.045172502;-0.657750874;0.764022916;0.890032946;-0.057876891;-0.277853043;-0.057876891;-0.965596604;0.993500529;0.619494777;0.945913786;-0.079625348;0.983553318;0.708736436;-0.180989838;0.709143082;0.713558404;0.704479829;-0.698338931;-0.696746985;0.08967408;0.226361175;-0.001343937;0.246112192;-0.702374546;0.613055776;-0.96861307;0.985702361;0.152249121;-0.847109448;0.613055776;0.984332243;0.993260886;-0.950108094;-0.975109673;0.991595577;0.621313631;-0.691853618;0.606643758;-0.599863164;-0.590913702;0.961614036;0.6805763;0.678008688;0.686470106;-0.69745135;0.679184301;0.624797048;-0.588642613;-0.38928591;-0.988904949;0.979962577;0.624781152;-0.715696;0.511188516;-0.636225089;-0.593177881;0.675890738;0.654665169;0.652892515;0.633340542;-0.589557561;0.268458368;0.696096893;-0.721167464;0.867624765;0.690684914;0.690684914;-0.67036764;-0.965596604;0.993486304;0.620334894;-0.685017442;0.588471071;-0.614967931;-0.590367036;0.681918645;0.640930205;-0.578784796;-0.761173463;-0.085682496;0.758294788;0.556560282;0.753671953
original_firstorder_InterquartileRange;-0.041616301;0.298316642;0.175694344;0.844904587;1;-0.264962673;0.078227931;0.905766669;0.160863588;0.196692681;-0.516217624;0.59072253;0.960902765;0.175694344;-0.50469717;0.175694344;-0.926082708;0.837399271;0.599682822;0.744337774;-0.41622268;0.862541555;0.515704697;-0.162404281;0.518388375;0.517841812;0.51406962;-0.517364297;-0.517399028;-0.024494551;0.115645029;0.022756268;0.190055253;-0.52223774;0.593677267;-0.887261183;0.815155191;-0.086453524;-0.882383433;0.593677267;0.8858472;0.837088313;-0.928249638;-0.915602364;0.829355219;0.598797013;-0.518633523;0.605315282;-0.568526366;-0.570894268;0.860037902;0.51241422;0.511279006;0.515003743;-0.525960382;0.511343271;0.595851572;-0.571760566;-0.420161382;-0.864655165;0.801092412;0.596171261;-0.538918534;0.577537417;-0.566560076;-0.568666935;0.504245631;0.492511493;0.491524114;0.587638126;-0.570838356;0.241827177;0.518059038;-0.553800888;0.833047846;0.523374624;0.523374624;-0.52081177;-0.926082708;0.837513303;0.599400781;-0.515635775;0.613838348;-0.565303244;-0.571777136;0.508441028;0.584691334;-0.575338589;-0.656358673;0.004466979;0.556114617;0.658268857;0.632942932
original_firstorder_Kurtosis;-0.275683863;-0.347388596;-0.297028175;-0.147309916;-0.264962673;1;-0.156919351;-0.195563023;-0.294956943;-0.27702969;-0.373284262;0.334028283;-0.294023344;-0.297028175;-0.176138515;-0.297028175;0.266618121;-0.08985235;0.277468142;0.030551859;0.033053785;-0.169291604;0.292286908;-0.501631534;0.265035081;0.272388714;0.328541283;-0.250657938;-0.248784779;0.259928061;0.286328864;0.518432341;-0.535519465;-0.243380355;0.283898066;0.191958598;-0.095357797;-0.064945608;0.168899419;0.283898066;-0.213841452;-0.089704879;0.297977377;0.250856575;-0.074953221;0.280063301;-0.241770142;0.25597475;-0.30530012;-0.287667077;-0.251840776;0.24841609;0.249422261;0.246215208;-0.232299033;0.249656463;0.286477871;-0.282345184;0.615986454;0.178937709;-0.02300966;0.284925688;-0.221809536;0.167637043;-0.334045692;-0.285289093;0.268787496;0.273570108;0.272969701;0.301611766;-0.271726506;-0.538731875;0.254870414;-0.201212961;-0.388961569;0.232424827;0.232424827;-0.214232001;0.266618121;-0.090382103;0.278997834;-0.241223988;0.225686051;-0.328422941;-0.288492698;0.261775591;0.310807465;-0.25662752;-0.266701564;-0.564435539;0.371382853;-0.364889705;0.329581822
original_firstorder_Maximum;0.665141055;0.666338483;0.662508689;0.1060428;0.078227931;-0.156919351;1;0.095376396;0.660804294;0.634664317;0.352789035;0.082861774;0.081429783;0.662508689;0.179627805;0.662508689;-0.10458451;0.097671218;-0.040142954;0.140477229;0.131136277;0.143959932;-0.13826268;0.273299038;-0.151954344;-0.141976859;-0.116520162;0.172603169;0.174943329;0.229307575;0.227758779;-0.296484012;0.297334583;0.157571245;-0.043439269;-0.050405555;0.075113776;0.144086095;-0.000998692;-0.043439269;0.137471441;0.098417436;-0.130361133;-0.10896992;0.10042992;-0.040292227;0.169839644;-0.03119277;0.057559359;0.049583865;0.173351126;-0.186617788;-0.190088281;-0.179212598;0.151250042;-0.190189619;-0.043623364;0.047099075;-0.293254732;-0.119309078;0.10566999;-0.039434438;0.122100094;-0.057000964;0.074787614;0.050314191;-0.182160746;-0.19888298;-0.200987687;-0.052159986;0.041463617;0.373824016;-0.160144941;0.094319558;0.223874487;-0.172493677;-0.172493677;0.15700176;-0.10458451;0.097946011;-0.040436688;0.177773278;-0.016474978;0.076472672;0.048662114;-0.180372012;-0.057907986;0.036943425;-0.118470491;0.389763833;-0.001899615;-0.162483053;0.111877906
original_firstorder_MeanAbsoluteDeviation;-0.200285288;0.153356958;0.015126906;0.981085555;0.905766669;-0.195563023;0.095376396;1;-0.001341159;0.029776408;-0.620193539;0.714846653;0.94965683;0.015126906;-0.350558128;0.015126906;-0.987103262;0.980933478;0.62298533;0.916008678;-0.187208299;0.983145994;0.659008484;-0.148724834;0.65925935;0.662868967;0.65655287;-0.650239911;-0.649024128;0.054164601;0.193187275;-0.016480586;0.256850928;-0.654432707;0.616285483;-0.974384015;0.960085179;0.087408862;-0.880612887;0.616285483;0.987533814;0.980651271;-0.975732502;-0.991091972;0.976537371;0.623946544;-0.645710649;0.615419308;-0.598427405;-0.592377505;0.958758437;0.636107988;0.633948513;0.640965151;-0.651528786;0.634796826;0.625520155;-0.591002352;-0.429821414;-0.983265737;0.956897742;0.625388332;-0.668660776;0.538717401;-0.624866731;-0.593267931;0.63119737;0.612367307;0.61082786;0.628864772;-0.59108066;0.286257579;0.649421386;-0.676639834;0.88427853;0.646062019;0.646062019;-0.630352314;-0.987103262;0.980965948;0.623521021;-0.639876373;0.604700149;-0.60900641;-0.59226264;0.636596013;0.633617171;-0.584699012;-0.739001629;-0.039767542;0.701439569;0.613330509;0.728078842
original_firstorder_Mean;0.969246644;0.981176408;0.999770879;-0.074536843;0.160863588;-0.294956943;0.660804294;-0.001341159;1;0.996015709;0.41750126;-0.156465071;0.141029225;0.999770879;-0.302461931;0.999770879;-0.05063818;-0.087808395;0.071069864;-0.150380975;-0.454549706;-0.016503596;-0.299782096;0.124765487;-0.312741838;-0.308597071;-0.27048103;0.319825593;0.320011857;-0.133469729;-0.101875016;-0.127479644;0.108011511;0.307544542;0.070160787;0.045939488;-0.1247733;-0.318791784;-0.025928644;0.070160787;0.017087338;-0.086952539;-0.089698602;-0.033862832;-0.093872114;0.066667615;0.305893482;0.106786944;-0.045165643;-0.070083427;0.029688485;-0.311210904;-0.312180067;-0.309840831;0.290222721;-0.313638564;0.054441953;-0.076834712;-0.228151217;0.027451085;-0.116486926;0.057977576;0.265059355;0.17449879;0.029372747;-0.062991499;-0.312035102;-0.311268032;-0.31143806;0.021538247;-0.079286194;0.200580536;-0.302882525;0.227459564;0.13607882;-0.299728039;-0.299728039;0.257709756;-0.05063818;-0.087088923;0.069156219;0.304845687;0.158340727;-0.000671658;-0.072592963;-0.313829547;0.001050846;-0.105953105;0.007703207;0.34567578;-0.277627671;0.186193841;-0.06842548
original_firstorder_Median;0.952097167;0.981880429;0.996717688;-0.045172502;0.196692681;-0.27702969;0.634664317;0.029776408;0.996015709;1;0.372112757;-0.119783577;0.175041998;0.996717688;-0.363895255;0.996717688;-0.081798259;-0.0577503;0.116055097;-0.126236522;-0.507989012;0.010249931;-0.25973269;0.071758246;-0.272470742;-0.268552054;-0.230806533;0.279404932;0.27949851;-0.146577055;-0.104791103;-0.080339792;0.070694943;0.266261196;0.115418552;0.013765023;-0.094090247;-0.355198673;-0.061436942;0.115418552;0.045900773;-0.056926667;-0.11991813;-0.064775177;-0.063733072;0.1115578;0.265985828;0.152525337;-0.090159724;-0.115468436;0.054645804;-0.270737205;-0.271597745;-0.269679601;0.250636308;-0.2731026;0.09910527;-0.122299754;-0.208580002;-0.00284784;-0.086043107;0.10252211;0.226790462;0.222162353;-0.014041939;-0.108075448;-0.271155719;-0.268978575;-0.268991257;0.065767997;-0.124380282;0.167664494;-0.263196665;0.189894199;0.153476552;-0.260053933;-0.260053933;0.21798319;-0.081798259;-0.057045203;0.114119419;0.26469346;0.204972472;-0.04515118;-0.118039089;-0.273268941;0.044843546;-0.151743265;-0.030773599;0.300933426;-0.238927882;0.219681968;-0.031671035
